Time,Open,High,Low,Last,Change,%Chg,Volume
08/19/2021,46.2,46.5,45.14,45.79,-1.22,-2.60%,49628100
08/18/2021,48,48.375,46.9501,47.01,-1,-2.08%,28152800
08/17/2021,48.04,48.79,47.58,48.01,-0.5,-1.03%,25554100
08/16/2021,48.75,48.77,48.08,48.51,-0.91,-1.84%,24129900
08/13/2021,50.04,50.04,49.3,49.42,-0.59,-1.18%,16525300
08/12/2021,50.02,50.29,49.4,50.01,-0.05,-0.10%,18269000
08/11/2021,49.54,50.145,49.23,50.06,0.39,+0.79%,23843000
08/10/2021,49.07,49.8,49.01,49.67,0.86,+1.76%,26641500
08/09/2021,48.85,49.2,48.48,48.81,-0.7,-1.41%,21096700
08/06/2021,49.48,49.9,49.24,49.51,0.45,+0.92%,18107300
08/05/2021,48.81,49.6619,48.6,49.06,0.55,+1.13%,22899900
08/04/2021,48.96,49.565,48.435,48.51,-1.35,-2.71%,32261900
08/03/2021,48.86,49.96,48.4,49.86,0.84,+1.71%,32151000
08/02/2021,49.42,50.62,48.94,49.02,-0.37,-0.75%,28905400
07/30/2021,50.09,50.3,49.09,49.39,-0.8,-1.59%,24800300
07/29/2021,50.35,50.57,49.8901,50.19,0.48,+0.97%,21897000
07/28/2021,49.39,50.12,48.94,49.71,0.45,+0.91%,19584600
07/27/2021,49.33,49.41,48.68,49.26,-0.46,-0.93%,23444100
07/26/2021,48.64,49.92,48.55,49.72,1.2,+2.47%,23633100
07/23/2021,48.86,48.88,48.03,48.52,-0.18,-0.37%,23475900
07/22/2021,49.2,49.2,48.28,48.7,-0.55,-1.12%,23635000
07/21/2021,48.53,49.65,48.42,49.25,1.66,+3.49%,41021300
07/20/2021,46.9799,48.09,46.58,47.59,0.63,+1.34%,41671000
07/19/2021,47.02,47.63,46.3,46.96,-1.72,-3.53%,57497400
07/16/2021,50.48,50.5,48.585,48.68,-1.42,-2.83%,37126800
07/15/2021,50.26,50.87,49.86,50.1,-0.71,-1.40%,29835400
07/14/2021,52.53,53.14,50.61,50.81,-1.56,-2.98%,33499600
07/13/2021,52.51,52.84,52.06,52.37,-0.4,-0.76%,24893400
07/12/2021,52.25,53.085,51.88,52.77,-0.08,-0.15%,20676500
07/09/2021,52.41,52.89,51.8,52.85,1.1,+2.13%,25603000
07/08/2021,51.13,52.235,50.95,51.75,-0.3,-0.58%,24689800
07/07/2021,52.83,53.32,51.47,52.05,-0.86,-1.63%,30411900
07/06/2021,54.51,54.61,52.69,52.91,-1.78,-3.25%,34223100
07/02/2021,54.58,54.87,54.11,54.69,-0.12,-0.22%,15235900
07/01/2021,55.1,55.27,54.3,54.81,0.94,+1.74%,23625800
06/30/2021,53.37,54.0284,53.32,53.87,0.66,+1.24%,23517000
06/29/2021,53.79,54.09,53.14,53.21,-0.26,-0.49%,15955400
06/28/2021,55.1,55.13,53.25,53.47,-1.87,-3.38%,32851400
06/25/2021,55.2,55.37,54.885,55.34,0.29,+0.53%,19164900
06/24/2021,54.83,55.09,54.3,55.05,0.47,+0.86%,20878300
06/23/2021,54.93,55.55,54.48,54.58,0.15,+0.28%,20276400
06/22/2021,53.94,54.64,53.35,54.43,0.36,+0.67%,24172100
06/21/2021,52.29,54.165,52.29,54.07,1.68,+3.21%,42183300
06/18/2021,52.86,53.53,52.35,52.39,-1.6,-2.96%,56906100
06/17/2021,55.75,56.22,53.26,53.99,-1.9,-3.40%,53470900
06/16/2021,56.1,56.545,55.4,55.89,-0.3,-0.53%,30393100
06/15/2021,55.49,56.335,55.35,56.19,1.05,+1.90%,32142500
06/14/2021,55.58,55.92,54.6905,55.14,-0.24,-0.43%,18872500
