Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/28/2019,73.55,73.55,73.55,73.55,0.4,+0.55%,9,42
05/24/2019,73.15,73.15,73.15,73.15,-0.55,-0.75%,0,0
05/23/2019,73.7,73.7,73.7,73.7,-0.9,-1.21%,0,33
05/22/2019,74.6,74.6,74.6,74.6,-0.15,-0.20%,5,33
05/21/2019,74.75,74.75,74.75,74.75,2.65,+3.68%,0,28
05/20/2019,72.1,72.1,72.1,72.1,-1.45,-1.97%,0,28
05/17/2019,73.55,73.55,73.55,73.55,-0.1,-0.14%,0,28
05/16/2019,73.65,73.65,73.65,73.65,-1.25,-1.67%,0,28
05/15/2019,74.9,74.9,74.9,74.9,0.25,+0.33%,0,28
05/14/2019,74.65,74.65,74.65,74.65,1.5,+2.05%,0,28
05/13/2019,73.15,73.15,73.15,73.15,-0.9,-1.22%,0,28
05/10/2019,74.05,74.05,74.05,74.05,0,0.00%,0,28
05/09/2019,74.05,74.05,74.05,74.05,-1.15,-1.53%,0,28
05/08/2019,75.2,75.2,75.2,75.2,1.1,+1.48%,0,28
05/07/2019,74.1,74.1,74.1,74.1,-2,-2.63%,0,28
05/06/2019,76.1,76.1,76.1,76.1,0,0.00%,0,28
05/03/2019,76.1,76.1,76.1,76.1,2.4,+3.26%,0,28
05/02/2019,73.7,73.7,73.7,73.7,0.3,+0.41%,0,28
05/01/2019,73.4,73.4,73.4,73.4,-1.35,-1.81%,0,28
04/30/2019,74.75,74.75,74.75,74.75,1.2,+1.63%,0,28
04/29/2019,73.55,73.55,73.55,73.55,-0.6,-0.81%,0,28
04/26/2019,74.15,74.15,74.15,74.15,-0.95,-1.26%,0,28
04/25/2019,75.1,75.1,75.1,75.1,0,0.00%,0,28
04/24/2019,75.1,75.1,75.1,75.1,-1.9,-2.47%,0,28
04/23/2019,77,77,77,77,0,0.00%,0,28
04/22/2019,77,77,77,77,0,0.00%,0,28
04/18/2019,77,77,77,77,-0.85,-1.09%,0,0
04/17/2019,77.85,77.85,77.85,77.85,0.6,+0.78%,0,28
04/16/2019,77.25,77.25,77.25,77.25,0.2,+0.26%,0,28
04/15/2019,77.05,77.05,77.05,77.05,-1.1,-1.41%,0,28
04/12/2019,78.15,78.15,78.15,78.15,-0.4,-0.51%,0,28
04/11/2019,78.55,78.55,78.55,78.55,0.15,+0.19%,0,28
04/10/2019,78.4,78.4,78.4,78.4,-2.45,-3.03%,0,28
04/09/2019,80.85,80.85,80.85,80.85,1.1,+1.38%,0,28
