Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/14/2021,12.308,12.308,12.308,12.308,0.187,+1.54%,0,0
09/13/2021,12.121,12.121,12.121,12.121,0.163,+1.36%,0,0
09/10/2021,11.958,11.958,11.958,11.958,-0.192,-1.58%,0,0
09/09/2021,12.15,12.15,12.15,12.15,0.2,+1.67%,0,0
09/08/2021,11.95,11.95,11.95,11.95,0.479,+4.18%,0,0
09/07/2021,11.471,11.471,11.471,11.471,0.309,+2.77%,0,0
09/03/2021,11.162,11.162,11.162,11.162,-0.012,-0.11%,0,0
09/02/2021,11.174,11.174,11.174,11.174,0.3,+2.76%,0,0
09/01/2021,10.874,10.874,10.874,10.874,-0.012,-0.11%,0,0
08/31/2021,10.886,10.886,10.886,10.886,0.172,+1.61%,0,0
08/30/2021,10.714,10.714,10.714,10.714,0.009,+0.08%,0,0
08/27/2021,10.705,10.705,10.705,10.705,0.135,+1.28%,0,0
08/26/2021,10.57,10.57,10.57,10.57,0.003,+0.03%,0,0
08/25/2021,10.567,10.567,10.567,10.567,-0.058,-0.55%,0,0
08/24/2021,10.625,10.625,10.625,10.625,0.232,+2.23%,0,0
08/23/2021,10.393,10.393,10.393,10.393,0.115,+1.12%,0,0
08/20/2021,10.278,10.278,10.278,10.278,0.292,+2.92%,0,0
08/19/2021,9.986,9.986,9.986,9.986,-0.817,-7.56%,0,0
08/18/2021,10.803,10.803,10.803,10.803,-0.24,-2.17%,0,0
08/17/2021,11.043,11.043,11.043,11.043,-0.137,-1.23%,0,0
08/16/2021,11.18,11.18,11.18,11.18,0.435,+4.05%,0,0
08/13/2021,10.745,10.745,10.745,10.745,0.009,+0.08%,0,0
08/12/2021,10.736,10.736,10.736,10.736,0.152,+1.44%,0,0
08/11/2021,10.584,10.584,10.584,10.584,0.223,+2.15%,0,0
08/10/2021,10.361,10.361,10.361,10.361,0.254,+2.51%,0,0
08/09/2021,10.107,10.107,10.107,10.107,-0.044,-0.43%,0,0
08/06/2021,10.151,10.151,10.151,10.151,0.237,+2.39%,0,0
08/05/2021,9.914,9.914,9.914,9.914,0.384,+4.03%,0,0
08/04/2021,9.53,9.53,9.53,9.53,0.22,+2.36%,0,0
08/03/2021,9.31,9.31,9.31,9.31,-0.005,-0.05%,0,0
08/02/2021,9.315,9.315,9.315,9.315,0.031,+0.33%,0,0
07/30/2021,9.284,9.284,9.284,9.284,0.001,+0.01%,0,0
07/29/2021,9.283,9.283,9.283,9.283,0.161,+1.76%,0,0
07/28/2021,9.122,9.122,9.122,9.122,0.238,+2.68%,0,0
07/27/2021,8.884,8.884,8.884,8.884,0.115,+1.31%,0,0
07/26/2021,8.769,8.769,8.769,8.769,0.21,+2.45%,0,0
07/23/2021,8.559,8.559,8.559,8.559,-0.021,-0.24%,0,0
07/22/2021,8.58,8.58,8.58,8.58,0.047,+0.55%,0,0
07/21/2021,8.533,8.533,8.533,8.533,0.076,+0.90%,0,0
07/20/2021,8.457,8.457,8.457,8.457,-0.09,-1.05%,0,0
07/19/2021,8.547,8.547,8.547,8.547,0.006,+0.07%,0,0
07/16/2021,8.541,8.541,8.541,8.541,0.014,+0.16%,0,0
07/15/2021,8.527,8.527,8.527,8.527,-0.13,-1.50%,0,0
07/14/2021,8.657,8.657,8.657,8.657,-0.06,-0.69%,0,0
07/13/2021,8.717,8.717,8.717,8.717,-0.1,-1.13%,0,0
07/12/2021,8.817,8.817,8.817,8.817,-0.1,-1.12%,0,0
07/09/2021,8.917,8.917,8.917,8.917,0.183,+2.10%,0,0
07/08/2021,8.734,8.734,8.734,8.734,0.08,+0.92%,0,0
07/07/2021,8.654,8.654,8.654,8.654,0.044,+0.51%,0,0
07/06/2021,8.61,8.61,8.61,8.61,-0.163,-1.86%,0,0
07/02/2021,8.773,8.773,8.773,8.773,-0.063,-0.71%,0,0
07/01/2021,8.836,8.836,8.836,8.836,0.037,+0.42%,0,0
06/30/2021,8.799,8.799,8.799,8.799,0.073,+0.84%,0,0
06/29/2021,8.726,8.726,8.726,8.726,0.143,+1.67%,0,0
06/28/2021,8.583,8.583,8.583,8.583,-0.069,-0.80%,0,0
06/25/2021,8.652,8.652,8.652,8.652,0.141,+1.66%,0,0
06/24/2021,8.511,8.511,8.511,8.511,0.005,+0.06%,0,0
06/23/2021,8.506,8.506,8.506,8.506,0.121,+1.44%,0,0
06/22/2021,8.385,8.385,8.385,8.385,0.095,+1.15%,0,0
06/21/2021,8.29,8.29,8.29,8.29,0.114,+1.39%,0,0
06/18/2021,8.176,8.176,8.176,8.176,0.137,+1.70%,0,0
06/17/2021,8.039,8.039,8.039,8.039,-0.056,-0.69%,0,0
06/16/2021,8.095,8.095,8.095,8.095,-0.091,-1.11%,0,0
06/15/2021,8.186,8.186,8.186,8.186,-0.188,-2.25%,0,0
06/14/2021,8.374,8.374,8.374,8.374,0.112,+1.36%,0,0
06/11/2021,8.262,8.262,8.262,8.262,-0.171,-2.03%,0,0
06/10/2021,8.433,8.433,8.433,8.433,0.131,+1.58%,0,0
06/09/2021,8.302,8.302,8.302,8.302,0.077,+0.94%,0,0
06/08/2021,8.225,8.225,8.225,8.225,0.104,+1.28%,0,0
06/07/2021,8.121,8.121,8.121,8.121,0.213,+2.69%,0,0
06/04/2021,7.908,7.908,7.908,7.908,0.061,+0.78%,0,0
06/03/2021,7.847,7.847,7.847,7.847,-0.061,-0.77%,0,0
06/02/2021,7.908,7.908,7.908,7.908,-0.218,-2.68%,0,0
06/01/2021,8.126,8.126,8.126,8.126,0.137,+1.71%,0,0
05/28/2021,7.989,7.989,7.989,7.989,-0.089,-1.10%,0,0
05/27/2021,8.078,8.078,8.078,8.078,-0.105,-1.28%,0,0
